resource,service,id_field,name_field,id_prefix,arn_field,arn_type,arn_separator,global_resource,has_arn,strategy
access-analyzer-finding,accessanalyzer,id,resourceType,,,,/,false,true,construct
account,account,account_id,account_name,,,,/,true,true,construct
acm-certificate,acm,CertificateArn,DomainName,,,certificate,/,false,true,construct
advisor-check,support,checkId,checkId,,,checks,/,false,true,construct
airflow,mwaa,Name,Name,,Arn,environment,/,false,true,field
alarm,cloudwatch,AlarmName,AlarmName,,AlarmArn,alarm,/,false,true,field
ami,ec2,ImageId,Name,ami-,,image,/,false,true,construct
apigw-domain-name,apigateway,domainName,domainName,,,/domainnames,/,false,true,construct
apigwv2,apigatewayv2,ApiId,name,,,/apis,/,false,true,construct
apigwv2-stage,apigatewayv2,StageName,StageName,,,/apis,/,false,true,construct
app-elb,elbv2,LoadBalancerArn,LoadBalancerName,,LoadBalancerArn,loadbalancer/app,/,false,true,field
app-elb-target-group,elbv2,TargetGroupArn,TargetGroupName,,,target-group,/,false,true,construct
app-flow,appflow,flowName,flowName,,flowArn,flow,/,false,true,field
appdiscovery-agent,discovery,agentId,hostName,,,,/,false,false,none
appmesh-mesh,appmesh,meshName,meshName,,arn,mesh,/,false,true,field
appmesh-virtual-gateway,appmesh,meshName,virtualGatewayName,,metadata.arn,mesh,/,false,true,field
appstream-fleet,appstream,Name,Name,,Arn,fleet,/,false,true,field
appstream-stack,appstream,Name,Name,,Arn,stack,/,false,true,field
artifact-domain,codeartifact,name,name,,arn,,/,false,true,field
artifact-repo,codeartifact,name,name,,arn,,/,false,true,field
asg,autoscaling,AutoScalingGroupName,AutoScalingGroupName,,AutoScalingGroupARN,autoScalingGroup,:,false,true,field
athena-named-query,athena,NamedQueryId,Name,,,,/,false,false,none
backup-plan,backup,BackupPlanName,BackupPlanId,,BackupPlanArn,,/,false,true,field
backup-vault,backup,BackupVaultName,BackupVaultName,,BackupVaultArn,backup-vault,/,false,true,field
batch-compute,batch,computeEnvironmentName,computeEnvironmentName,,computeEnvironmentArn,compute-environment,/,false,true,field
batch-definition,batch,jobDefinitionName,jobDefinitionName,,jobDefinitionArn,job-definition,/,false,true,field
batch-queue,batch,jobQueueName,jobQueueName,,jobQueueArn,job-queue,/,false,true,field
bedrock-agent,bedrock-agent,agentId,agentName,,agentArn,,/,false,true,field
bedrock-custom-model,bedrock,modelArn,modelName,,modelArn,,/,false,true,field
bedrock-customization-job,bedrock,jobArn,jobName,,jobArn,,/,false,true,field
bedrock-knowledge-base,bedrock-agent,knowledgeBaseId,name,,knowledgeBaseArn,,/,false,true,field
budget,budgets,BudgetName,BudgetName,,,budget,/,true,true,construct
cache-cluster,elasticache,CacheClusterId,CacheClusterId,,,cluster,:,false,true,construct
cache-snapshot,elasticache,SnapshotName,SnapshotName,,,snapshot,:,false,true,construct
cache-subnet-group,elasticache,CacheSubnetGroupName,CacheSubnetGroupName,,,subnetgroup,/,false,true,construct
catalog-portfolio,servicecatalog,Id,DisplayName,,ARN,portfolio,/,false,true,field
catalog-product,servicecatalog,ProductId,Name,,ProductARN,product,/,false,true,field
cfn,cloudformation,StackName,StackName,,,stack,/,false,true,construct
cloud-directory,clouddirectory,DirectoryArn,Name,,DirectoryArn,directory,/,false,true,field
cloudhsm-cluster,cloudhsmv2,ClusterId,ClusterId,,,cluster,/,false,true,construct
cloudsearch,cloudsearch,DomainName,DomainName,,,domain,/,false,true,construct
cloudtrail,cloudtrail,TrailARN,Name,,TrailARN,trail,/,false,true,field
cloudwatch-dashboard,cloudwatch,DashboardName,DashboardName,,DashboardArn,dashboard,/,false,true,field
codebuild,codebuild,name,name,,arn,project,/,false,true,field
codecommit,codecommit,repositoryName,repositoryName,,Arn,,/,false,true,field
codedeploy-app,codedeploy,applicationName,applicationName,,,application,:,false,true,construct
codedeploy-deployment,codedeploy,deploymentId,deploymentId,,,deploymentgroup,/,false,true,construct
codedeploy-group,codedeploy,deploymentGroupId,deploymentGroupName,,,deploymentgroup,:,false,true,construct
codepipeline,codepipeline,name,name,,,,/,false,true,construct
composite-alarm,cloudwatch,AlarmName,AlarmName,,AlarmArn,alarm,/,false,true,field
config-recorder,config,name,name,,,,/,false,false,none
config-rule,config,ConfigRuleName,ConfigRuleName,,ConfigRuleArn,config-rule,/,false,true,field
connect-campaign,connectcampaigns,id,name,,,campaign,/,false,true,construct
connect-instance,connect,Id,InstanceAlias,,,instance,/,false,true,construct
customer-gateway,ec2,CustomerGatewayId,CustomerGatewayId,cgw-,,customer-gateway,/,false,true,construct
datalake-location,lakeformation,ResourceArn,ResourceArn,,ResourceArn,,/,false,true,field
datapipeline,datapipeline,pipelineId,name,,,pipeline,/,false,true,construct
datasync-agent,datasync,AgentArn,Name,,AgentArn,agent,/,false,true,field
datasync-task,datasync,TaskArn,Name,,TaskArn,task,/,false,true,field
dax,dax,ClusterName,ClusterName,,ClusterArn,cache,/,false,true,field
devicefarm-project,devicefarm,arn,name,,arn,project,/,false,true,field
directconnect,directconnect,connectionId,connectionName,,,dxcon,/,false,true,construct
directory,ds,DirectoryId,Name,,,directory,/,false,true,construct
distribution,cloudfront,Id,DomainName,,ARN,distribution,/,true,true,field
dlm-policy,dlm,PolicyId,PolicyId,,PolicyArn,policy,/,false,true,field
dms-endpoint,dms,EndpointArn,EndpointIdentifier,,EndpointArn,endpoint,/,false,true,field
dms-instance,dms,ReplicationInstanceIdentifier,ReplicationInstanceIdentifier,,ReplicationInstanceArn,rep,/,false,true,field
dms-replication-task,dms,ReplicationTaskArn,ReplicationTaskIdentifier,,ReplicationTaskArn,task,/,false,true,field
dynamodb-backup,dynamodb,BackupArn,BackupName,,BackupArn,,/,false,true,field
dynamodb-stream,dynamodbstreams,StreamArn,TableName,,StreamArn,stream,/,false,true,field
dynamodb-table,dynamodb,TableName,TableName,,TableArn,table,/,false,true,field
ebs,ec2,VolumeId,VolumeId,vol-,,volume,/,false,true,construct
ebs-snapshot,ec2,SnapshotId,SnapshotId,snap-,,snapshot,/,false,true,construct
ec2,ec2,InstanceId,PublicDnsName,i-,,instance,/,false,true,construct
ec2-capacity-reservation,ec2,CapacityReservationId,CapacityReservationId,cr-,CapacityReservationArn,,/,false,true,field
ec2-host,ec2,HostId,HostId,h-,,dedicated-host,/,false,true,construct
ec2-reserved,ec2,ReservedInstancesId,ReservedInstancesId,,,reserved-instances,/,false,true,construct
ec2-spot-fleet-request,ec2,SpotFleetRequestId,SpotFleetRequestId,sfr-,,spot-fleet-request,/,false,true,construct
ecr,ecr,repositoryName,repositoryName,,repositoryArn,repository,/,false,true,field
ecr-image,ecr,imageDigest,repositoryName,,imageArn,repository,/,false,true,field
