resource_key,field,label,type,source,reason
acm.certificate,CreatedAt,created_at,str,list,1/1 carry it
acm.certificate,Exported,exported,bool,list,1/1 carry it
acm.certificate,HasAdditionalSubjectAlternativeNames,has_additional_subject_alternative_names,bool,list,1/1 carry it
acm.certificate,InUse,in_use,bool,list,1/1 carry it
acm.certificate,IssuedAt,issued_at,str,list,1/1 carry it
acm.certificate,KeyAlgorithm,key_algorithm,str,list,1/1 carry it
acm.certificate,NotAfter,not_after,str,list,1/1 carry it
acm.certificate,NotBefore,not_before,str,list,1/1 carry it
acm.certificate,RenewalEligibility,renewal_eligibility,str,list,1/1 carry it
acm.certificate,Status,status,str,list,1/1 carry it
acm.certificate,Type,type,str,list,1/1 carry it
apigatewayv2.api,ApiEndpoint,api_endpoint,str,list,2/2 carry it
apigatewayv2.api,ApiKeySelectionExpression,api_key_selection_expression,str,list,2/2 carry it
apigatewayv2.api,CreatedDate,created_date,str,list,2/2 carry it
apigatewayv2.api,DisableExecuteApiEndpoint,disable_execute_api_endpoint,bool,list,2/2 carry it
apigatewayv2.api,CorsConfiguration.MaxAge,max_age,num,list,1/1 carry it
apigatewayv2.api,ProtocolType,protocol_type,str,list,2/2 carry it
apigatewayv2.api,RouteSelectionExpression,route_selection_expression,str,list,2/2 carry it
apigatewayv2.stage,AutoDeploy,auto_deploy,bool,list,2/2 carry it
apigatewayv2.stage,CreatedDate,created_date,str,list,2/2 carry it
apigatewayv2.stage,DeploymentId,deployment_id,str,list,2/2 carry it
apigatewayv2.stage,DefaultRouteSettings.DetailedMetricsEnabled,detailed_metrics_enabled,bool,list,2/2 carry it
apigatewayv2.stage,LastDeploymentStatusMessage,last_deployment_status_message,str,list,2/2 carry it
apigatewayv2.stage,LastUpdatedDate,last_updated_date,str,list,2/2 carry it
appconfig.deployment_strategy,DeploymentDurationInMinutes,deployment_duration_in_minutes,num,list,4/4 carry it
appconfig.deployment_strategy,FinalBakeTimeInMinutes,final_bake_time_in_minutes,num,list,4/4 carry it
appconfig.deployment_strategy,GrowthFactor,growth_factor,num,list,4/4 carry it
appconfig.deployment_strategy,GrowthType,growth_type,str,list,4/4 carry it
appconfig.deployment_strategy,ReplicateTo,replicate_to,str,list,4/4 carry it
appconfig.extension,VersionNumber,version_number,num,list,5/5 carry it
apprunner.auto_scaling_configuration,AutoScalingConfigurationRevision,auto_scaling_configuration_revision,num,list,1/1 carry it
apprunner.auto_scaling_configuration,CreatedAt,created_at,str,list,1/1 carry it
apprunner.auto_scaling_configuration,HasAssociatedService,has_associated_service,bool,list,1/1 carry it
apprunner.auto_scaling_configuration,IsDefault,is_default,bool,list,1/1 carry it
apprunner.auto_scaling_configuration,Status,status,str,list,1/1 carry it
apprunner.observability_configuration,ObservabilityConfigurationRevision,observability_configuration_revision,num,list,1/1 carry it
athena.data_catalog,Type,type,str,list,1/1 carry it
athena.work_group,CreationTime,creation_time,str,list,1/1 carry it
athena.work_group,EngineVersion.EffectiveEngineVersion,effective_engine_version,str,list,1/1 carry it
athena.work_group,EngineVersion.SelectedEngineVersion,selected_engine_version,str,list,1/1 carry it
athena.work_group,State,state,str,list,1/1 carry it
autoscaling.auto_scaling_group,CapacityRebalance,capacity_rebalance,bool,list,2/2 carry it
autoscaling.auto_scaling_group,CreatedTime,created_time,str,list,3/3 carry it
autoscaling.auto_scaling_group,DefaultCooldown,default_cooldown,num,list,3/3 carry it
autoscaling.auto_scaling_group,DesiredCapacity,desired,num,list,
autoscaling.auto_scaling_group,HealthCheckGracePeriod,health_check_grace_period,num,list,3/3 carry it
autoscaling.auto_scaling_group,HealthCheckType,health_check_type,str,list,3/3 carry it
autoscaling.auto_scaling_group,LaunchTemplate.Version,launch_template_version,str,list,1/1 carry it
autoscaling.auto_scaling_group,MaxSize,max,num,list,
autoscaling.auto_scaling_group,MinSize,min,num,list,the three numbers that ARE the scaling decision
autoscaling.auto_scaling_group,NewInstancesProtectedFromScaleIn,new_instances_protected_from_scale_in,bool,list,3/3 carry it
autoscaling.auto_scaling_group,ServiceLinkedRoleARN,service_linked_role_arn,str,list,3/3 carry it
autoscaling.auto_scaling_group,VPCZoneIdentifier,vpc_zone_identifier,str,list,3/3 carry it
autoscaling.launch_configuration,CreatedTime,created_time,str,list,1/1 carry it
autoscaling.launch_configuration,EbsOptimized,ebs_optimized,bool,list,1/1 carry it
autoscaling.launch_configuration,IamInstanceProfile,iam_instance_profile,str,list,1/1 carry it
autoscaling.launch_configuration,ImageId,image_id,str,list,1/1 carry it
autoscaling.launch_configuration,InstanceMonitoring.Enabled,instance_monitoring_enabled,bool,list,1/1 carry it
autoscaling.launch_configuration,InstanceType,instance_type,str,list,1/1 carry it
autoscaling.launch_configuration,KeyName,key_name,str,list,1/1 carry it
batch.job_definition,containerOrchestrationType,container_orchestration_type,str,list,1/1 carry it
batch.job_definition,tags.Disposable,disposable,str,list,1/1 carry it
batch.job_definition,containerProperties.executionRoleArn,execution_role_arn,str,list,1/1 carry it
batch.job_definition,containerProperties.image,image,str,list,1/1 carry it
batch.job_definition,containerProperties.jobRoleArn,job_role_arn,str,list,1/1 carry it
batch.job_definition,tags.Purpose,purpose,str,list,1/1 carry it
batch.job_definition,revision,revision,num,list,1/1 carry it
batch.job_definition,status,status,str,list,1/1 carry it
batch.job_definition,type,type,str,list,1/1 carry it
cloudformation.stack,ChangeSetId,change_set_id,str,list,1/1 carry it
cloudformation.stack,CreationTime,creation_time,str,list,4/4 carry it
cloudformation.stack,DeletionTime,deletion_time,str,list,1/1 carry it
cloudformation.stack,DisableRollback,disable_rollback,bool,list,4/4 carry it
cloudformation.stack,EnableTerminationProtection,enable_termination_protection,bool,list,4/4 carry it
cloudformation.stack,LastUpdatedTime,last_updated_time,str,list,2/2 carry it
cloudformation.stack,DriftInformation.StackDriftStatus,stack_drift_status,str,list,4/4 carry it
cloudformation.stack,StackStatus,stack_status,str,list,4/4 carry it
cloudformation.stack,StackStatusReason,stack_status_reason,str,list,1/1 carry it
cloudfront.cloud_front_origin_access_identity,Comment,comment,str,list,2/2 carry it
cloudfront.cloud_front_origin_access_identity,S3CanonicalUserId,s3_canonical_user_id,str,list,2/2 carry it
cloudfront.distribution,Aliases.Quantity,aliases_quantity,num,list,2/2 carry it
cloudfront.distribution,CacheBehaviors.Quantity,cache_behaviors_quantity,num,list,2/2 carry it
cloudfront.distribution,CustomErrorResponses.Quantity,custom_error_responses_quantity,num,list,2/2 carry it
cloudfront.distribution,Enabled,enabled,bool,list,2/2 carry it
cloudfront.distribution,HttpVersion,http_version,str,list,2/2 carry it
