key,service,icon_name,icon_class,icon_category,icon_file,match_level
accessanalyzer.access_analyzer_finding,accessanalyzer,accessanalyzer,,,,none
accessanalyzer.analyzed_resource,accessanalyzer,accessanalyzer,,,,none
accessanalyzer.analyzer,accessanalyzer,accessanalyzer,,,,none
accessanalyzer.archive_rule,accessanalyzer,accessanalyzer,,,,none
accessanalyzer.finding,accessanalyzer,accessanalyzer,,,,none
accessanalyzer.generated_policy,accessanalyzer,accessanalyzer,,,,none
account.alternate_contact,account,account,,,,none
aiops.investigation_group,aiops,aiops,,,,none
amp.alert_manager_definition,amp,amp,,,,none
amp.anomaly_detector,amp,amp,,,,none
amp.default_scraper_configuration,amp,amp,,,,none
amp.logging_configuration,amp,amp,,,,none
amp.rule_groups_namespace,amp,amp,,,,none
amp.scraper,amp,amp,,,,none
amp.workspace,amp,amp,,,,none
amplifybackend.backend,amplifybackend,amplifybackend,,,,none
amplifybackend.backend_api,amplifybackend,amplifybackend,,,,none
amplifybackend.backend_api_model,amplifybackend,amplifybackend,,,,none
amplifybackend.backend_auth,amplifybackend,amplifybackend,,,,none
amplifybackend.backend_job,amplifybackend,amplifybackend,,,,none
amplifybackend.backend_storage,amplifybackend,amplifybackend,,,,none
amplifybackend.s3_bucket,amplifybackend,amplifybackend,,,,none
amplifybackend.token,amplifybackend,amplifybackend,,,,none
amplifyuibuilder.codegen_job,amplifyuibuilder,amplifyuibuilder,,,,none
amplifyuibuilder.component,amplifyuibuilder,amplifyuibuilder,,,,none
amplifyuibuilder.form,amplifyuibuilder,amplifyuibuilder,,,,none
amplifyuibuilder.theme,amplifyuibuilder,amplifyuibuilder,,,,none
apigatewaymanagementapi.connection,apigatewaymanagementapi,apigatewaymanagementapi,,,,none
apigatewayv2.domain_name,apigatewayv2,apigatewayv2,,,,none
apigatewayv2.portal,apigatewayv2,apigatewayv2,,,,none
apigatewayv2.portal_product,apigatewayv2,apigatewayv2,,,,none
apigatewayv2.route,apigatewayv2,apigatewayv2,,,,none
apigatewayv2.stage,apigatewayv2,apigatewayv2,,,,none
apigatewayv2.vpc_link,apigatewayv2,apigatewayv2,,,,none
appconfig.application,appconfig,appconfig,,,,none
appconfig.configuration,appconfig,appconfig,,,,none
appconfig.configuration_profile,appconfig,appconfig,,,,none
appconfig.deployment,appconfig,appconfig,,,,none
appconfig.deployment_strategy,appconfig,appconfig,,,,none
appconfig.environment,appconfig,appconfig,,,,none
appconfig.extension,appconfig,appconfig,,,,none
appconfig.extension_association,appconfig,appconfig,,,,none
appconfig.hosted_configuration_version,appconfig,appconfig,,,,none
appconfigdata.latest_configuration,appconfigdata,appconfigdata,,,,none
appfabric.app_authorization,appfabric,appfabric,,,,none
appfabric.app_bundle,appfabric,appfabric,,,,none
appfabric.ingestion,appfabric,appfabric,,,,none
appfabric.ingestion_destination,appfabric,appfabric,,,,none
appflow.flow,appflow,appflow,,,,none
appflow.connector,appflow,appflow,,,,none
appflow.connector_entity,appflow,appflow,,,,none
appflow.connector_profile,appflow,appflow,,,,none
appflow.flow,appflow,appflow,,,,none
appflow.flow_execution_record,appflow,appflow,,,,none
appintegrations.application,appintegrations,appintegrations,,,,none
appintegrations.application_association,appintegrations,appintegrations,,,,none
appintegrations.data_integration,appintegrations,appintegrations,,,,none
appintegrations.data_integration_association,appintegrations,appintegrations,,,,none
appintegrations.event_integration,appintegrations,appintegrations,,,,none
appintegrations.event_integration_association,appintegrations,appintegrations,,,,none
application-insights.application,application-insights,application-insights,,,,none
application-insights.component,application-insights,application-insights,,,,none
application-insights.component_configuration,application-insights,application-insights,,,,none
application-insights.log_pattern,application-insights,application-insights,,,,none
application-insights.log_pattern_set,application-insights,application-insights,,,,none
application-insights.problem,application-insights,application-insights,,,,none
application-insights.workload,application-insights,application-insights,,,,none
application-signals.service_level_objective,application-signals,application-signals,,,,none
application-signals.service_operation,application-signals,application-signals,,,,none
applicationcostprofiler.report_definition,applicationcostprofiler,applicationcostprofiler,,,,none
approved.instance,approved,approved,,,,none
appstream.app_block,appstream,appstream,,,,none
appstream.app_block_builder,appstream,appstream,,,,none
appstream.application,appstream,appstream,,,,none
appstream.application_fleet_association,appstream,appstream,,,,none
appstream.directory_config,appstream,appstream,,,,none
appstream.fleet,appstream,appstream,,,,none
appstream.image,appstream,appstream,,,,none
appstream.image_builder,appstream,appstream,,,,none
appstream.stack,appstream,appstream,,,,none
arc-region-switch.plan,arc-region-switch,arc-region-switch,,,,none
arc-region-switch.plan_execution,arc-region-switch,arc-region-switch,,,,none
arc-region-switch.plan_in_region,arc-region-switch,arc-region-switch,,,,none
arc-region-switch.plans_in_region,arc-region-switch,arc-region-switch,,,,none
arc-zonal-shift.managed_resource,arc-zonal-shift,arc-zonal-shift,,,,none
arc-zonal-shift.zonal_shift,arc-zonal-shift,arc-zonal-shift,,,,none
auditmanager.account_status,auditmanager,auditmanager,,,,none
auditmanager.assessment,auditmanager,auditmanager,,,,none
auditmanager.assessment_control_insights_by_control_domain,auditmanager,auditmanager,,,,none
auditmanager.assessment_framework,auditmanager,auditmanager,,,,none
auditmanager.assessment_framework_share_request,auditmanager,auditmanager,,,,none
auditmanager.assessment_report_url,auditmanager,auditmanager,,,,none
auditmanager.change_log,auditmanager,auditmanager,,,,none
auditmanager.control,auditmanager,auditmanager,,,,none
auditmanager.control_domain_insights_by_assessment,auditmanager,auditmanager,,,,none
auditmanager.control_insights_by_control_domain,auditmanager,auditmanager,,,,none
auditmanager.delegation,auditmanager,auditmanager,,,,none
auditmanager.evidence,auditmanager,auditmanager,,,,none
auditmanager.evidence_by_evidence_folder,auditmanager,auditmanager,,,,none
auditmanager.evidence_file_upload_url,auditmanager,auditmanager,,,,none
auditmanager.evidence_folder,auditmanager,auditmanager,,,,none
auditmanager.evidence_folders_by_assessment,auditmanager,auditmanager,,,,none
auditmanager.evidence_folders_by_assessment_control,auditmanager,auditmanager,,,,none
auditmanager.insights_by_assessment,auditmanager,auditmanager,,,,none
auditmanager.keywords_for_data_source,auditmanager,auditmanager,,,,none
auditmanager.notification,auditmanager,auditmanager,,,,none
auditmanager.organization_admin_account,auditmanager,auditmanager,,,,none
auditmanager.services_in_scope,auditmanager,auditmanager,,,,none
auditmanager.setting,auditmanager,auditmanager,,,,none
autoscaling-plans.scaling_plan,autoscaling-plans,autoscaling-plans,,,,none
autoscaling-plans.scaling_plan_resource,autoscaling-plans,autoscaling-plans,,,,none
autoscaling-plans.scaling_plan_resource_forecast_data,autoscaling-plans,autoscaling-plans,,,,none
b2bi.capability,b2bi,b2bi,,,,none
b2bi.partnership,b2bi,b2bi,,,,none
b2bi.profile,b2bi,b2bi,,,,none
b2bi.transformer,b2bi,b2bi,,,,none
b2bi.transformer_job,b2bi,b2bi,,,,none
backup-gateway.bandwidth_rate_limit_schedule,backup-gateway,backup-gateway,,,,none
backup-gateway.gateway,backup-gateway,backup-gateway,,,,none
backup-gateway.hypervisor,backup-gateway,backup-gateway,,,,none
backup-gateway.hypervisor_property_mapping,backup-gateway,backup-gateway,,,,none
backup-gateway.virtual_machine,backup-gateway,backup-gateway,,,,none
bcm-data-exports.execution,bcm-data-exports,bcm-data-exports,,,,none
bcm-data-exports.export,bcm-data-exports,bcm-data-exports,,,,none
bcm-data-exports.table,bcm-data-exports,bcm-data-exports,,,,none
bcm-pricing-calculator.bill_estimate_commitment,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-pricing-calculator.bill_estimate_input_commitment_modification,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-pricing-calculator.bill_estimate_input_usage_modification,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-pricing-calculator.bill_estimate_line_item,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-pricing-calculator.bill_scenario,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-pricing-calculator.bill_scenario_commitment_modification,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-pricing-calculator.bill_scenario_usage_modification,bcm-pricing-calculator,bcm-pricing-calculator,,,,none
bcm-recommended-actions.recommended_action,bcm-recommended-actions,bcm-recommended-actions,,,,none
bedrock-agent-runtime.invocation,bedrock-agent-runtime,bedrock-agent-runtime,,,,none
bedrock-agent-runtime.invocation_step,bedrock-agent-runtime,bedrock-agent-runtime,,,,none
bedrock-agent-runtime.session,bedrock-agent-runtime,bedrock-agent-runtime,,,,none
bedrock-agent.bedrock_agent,bedrock-agent,bedrock-agent,,,,none
bedrock-agent.bedrock_knowledge_base,bedrock-agent,bedrock-agent,,,,none
bedrock-agent.flow,bedrock-agent,bedrock-agent,,,,none
bedrock-agent.flow_alia,bedrock-agent,bedrock-agent,,,,none
bedrock-agent.flow_alias,bedrock-agent,bedrock-agent,,,,none
bedrock-agent.flow_version,bedrock-agent,bedrock-agent,,,,none
bedrock-agent.prompt,bedrock-agent,bedrock-agent,,,,none
bedrock-agentcore-control.agent_runtime_endpoint,bedrock-agentcore-control,bedrock-agentcore-control,,,,none
bedrock-agentcore-control.gateway,bedrock-agentcore-control,bedrock-agentcore-control,,,,none
bedrock-agentcore-control.gateway_target,bedrock-agentcore-control,bedrock-agentcore-control,,,,none
bedrock-agentcore-control.memory,bedrock-agentcore-control,bedrock-agentcore-control,,,,none
bedrock-agentcore-control.token_vault,bedrock-agentcore-control,bedrock-agentcore-control,,,,none
bedrock-agentcore-control.workload_identity,bedrock-agentcore-control,bedrock-agentcore-control,,,,none
bedrockagentcore.actor,bedrock-agentcore,bedrock-agentcore,,,,none
bedrockagentcore.code_interpreter_session,bedrock-agentcore,bedrock-agentcore,,,,none
bedrockagentcore.event,bedrock-agentcore,bedrock-agentcore,,,,none
bedrockagentcore.memory_record,bedrock-agentcore,bedrock-agentcore,,,,none
bedrockagentcore.session,bedrock-agentcore,bedrock-agentcore,,,,none
bedrock-data-automation.blueprint,bedrock-data-automation,bedrock-data-automation,,,,none
billing.billing_view,billing,billing,,,,none
billingconductor.account_association,billingconductor,billingconductor,,,,none
