source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
airflow,KmsKey,scalar,kms-key,encrypted-by,c7n,high,aws.airflow.filters.kms-key,false,
ami,BlockDeviceMappings[].Ebs.SnapshotId,list_dict,ebs-snapshot,created-from,doc,medium,ec2.DescribeImages: 'snapshot',true,
app-elb,SecurityGroups[],list_scalar,security-group,protected-by,c7n,high,aws.app-elb.filters.security-group,false,
app-elb,AvailabilityZones[].SubnetId,list_dict,subnet,contained-in,c7n,high,aws.app-elb.filters.subnet,false,"asff,doc"
app-elb,VpcId,scalar,vpc,contained-in,c7n,high,aws.app-elb.filters.vpc,false,"asff,doc"
app-elb-target-group,VpcId,scalar,vpc,contained-in,doc,medium,elbv2.DescribeTargetGroups: 'VPC for the targets',true,
appstream-fleet,IamRoleArn,scalar,iam-role,assumes,doc,medium,appstream.DescribeFleets: 'IAM role that is applied to the fleet',true,
asg,Instances[].InstanceId,list_dict,ec2,references,doc,medium,autoscaling.DescribeAutoScalingGroups: 'instance',true,
asg,,,security-group,protected-by,c7n,declared-no-path,aws.asg.filters.security-group,true,
backup-vault,EncryptionKeyArn,scalar,kms-key,encrypted-by,c7n,high,aws.backup-vault.filters.kms-key,false,
batch-compute,computeResources.securityGroupIds[],list_scalar,security-group,protected-by,c7n,high,aws.batch-compute.filters.security-group,false,
batch-compute,computeResources.subnets[],list_scalar,subnet,contained-in,c7n,high,aws.batch-compute.filters.subnet,false,
bedrock-agent,customerEncryptionKeyArn,scalar,kms-key,encrypted-by,c7n,high,aws.bedrock-agent.filters.kms-key,false,
bedrock-custom-model,modelKmsKeyArn,scalar,kms-key,encrypted-by,c7n,high,aws.bedrock-custom-model.filters.kms-key,false,
bedrock-customization-job,outputModelKmsKeyArn,scalar,kms-key,encrypted-by,c7n,high,aws.bedrock-customization-job.filters.kms-key,false,
cache-cluster,SecurityGroups[].SecurityGroupId,list_dict,security-group,protected-by,c7n,high,aws.cache-cluster.filters.security-group,false,
cache-cluster,,,subnet,contained-in,c7n,declared-no-path,aws.cache-cluster.filters.subnet,true,
cache-snapshot,KmsKeyId,scalar,kms-key,encrypted-by,doc,medium,elasticache.DescribeSnapshots: 'KMS key used to encrypt the snapshot',true,
cache-subnet-group,Subnets[].SubnetIdentifier,list_dict,subnet,contained-in,doc,medium,elasticache.DescribeCacheSubnetGroups: 'subnet',true,
cache-subnet-group,Subnets[].SubnetOutpost.SubnetOutpostArn,list_dict,subnet,contained-in,doc,medium,elasticache.DescribeCacheSubnetGroups: 'subnet',true,
cloudhsm-cluster,,,subnet,contained-in,c7n,declared-no-path,aws.cloudhsm-cluster.filters.subnet,true,
codebuild,vpcConfig.securityGroupIds[],list_scalar,security-group,protected-by,c7n,high,aws.codebuild.filters.security-group,false,
codebuild,vpcConfig.subnets[],list_scalar,subnet,contained-in,c7n,high,aws.codebuild.filters.subnet,false,
codebuild,VpcConfig.VpcId,dotted,vpc,contained-in,asff,medium,securityhub.GetFindings: 'VPC',true,
codebuild,vpcConfig.vpcId,dotted,vpc,contained-in,c7n,high,aws.codebuild.filters.vpc,false,
connect-campaign,connectInstanceConfig.encryptionConfig.keyArn,dotted,kms-key,encrypted-by,c7n,high,aws.connect-campaign.filters.kms-key,false,
dax,SecurityGroups[].SecurityGroupIdentifier,list_dict,security-group,protected-by,c7n,high,aws.dax.filters.security-group,false,
dax,,,subnet,contained-in,c7n,declared-no-path,aws.dax.filters.subnet,true,
devicefarm-project,vpcConfig.vpcId,dotted,vpc,contained-in,doc,medium,devicefarm.ListProjects: 'Amazon VPC',true,
directory,VpcSettings.SecurityGroupId,dotted,security-group,protected-by,c7n,high,aws.directory.filters.security-group,false,
directory,VpcSettings.SubnetIds,dotted,subnet,contained-in,c7n,high,aws.directory.filters.subnet,false,
